"regionrus","excess10","excess","regionkz","dustkz","lowconsentration","maxconsentration","excesslc","excessmc","excess5","dustrus"
"Нур-Султан","","1346","Нұр-Сұлтан қаласы","РМ-2,5 қалқымабөлшектері","0.07","0.88","2","5.5","4","Взвешенные частицы РМ -2,5"
"Нур-Султан","","32","Нұр-Сұлтан қаласы","Көміртегіоксиді","0.61","7.53","0.2","1.5","","Оксид углерода"
"Нур-Султан","","","Нұр-Сұлтан қаласы","Сульфаттар","0","0","","","","Сульфаты"
"Нур-Султан","","421","Нұр-Сұлтан қаласы","Күкіртті сутегі","0.002","0.04","","4.5","","Фтористый водород"
"Кокшетау","","","Көкшетау қаласы","Көміртегіоксиді","0.15","2.12","0.05","0.42","","Оксид углерода"
"Степногорск","","","Степногорск қаласы","Диоксид азота","0.04","0.18","0.91","0.92","","Диоксид азота"
"Атбасар","","","Атбасар қаласы","Взвешенные частицы РМ-10","0.03","0.03","0.48","0.1","","Взвешенные частицы РМ-10"
"Атбасар","","","Атбасар қаласы","Озон","0.04","0.15","1.3","0.95","","Озон"
"СКФМ Боровое","","","Бурабай КФМС","РМ-2,5 қалқымабөлшектері","0.04","0.12","1.1","0.76","","Взвешенные частицы РМ-2,5"
"СКФМ Боровое","","","Бурабай КФМС","Азот оксиді","0.0001","0.11","0","0.28","","Оксид азота"
"Щучинско-Боровская курортная зона (ЩБКЗ)","","","Щучинск-Бурабай курорттық аймағының (ЩБКА)","РМ-2,5 қалқымабөлшектері","0.04","0.15","1.1","0.93","","Взвешенные частицы РМ-2,5"
"Щучинско-Боровская курортная зона (ЩБКЗ)","","","Щучинск-Бурабай курорттық аймағының (ЩБКА)","Азот оксиді","0.003","0.03","0.05","0.08","","Оксид азота"
"Актобе","","","Ақтөбе қаласы","Қалқымабөлшектер (шаң)","0.0012","0.1","0.0081","0.2","","Взвешенные частицы (пыль)"
"Актобе","","1","Ақтөбе қаласы","Көміртегіоксиді","0.5926","8.7399","0.1975","1.748","","Оксид углерода"
"Актобе","","","Ақтөбе қаласы","Формальдегид","0.0039","0.006","0.3947","0.12","","Формальдегид"
"Алматы","","0","Алматы қаласы","Күкіртдиоксиді","0.023","0.323","0.5","0.6","","Диоксид серы"
"Талдыкорган","","292","Талдықорған қаласы","РМ-2,5 қалқымабөлшектері","0.082","0.59","2.4","3.7","","Взвешенные частицы РМ-2,5"
"Талдыкорган","","21","Талдықорған қаласы","Күкірттісутегі","0.002","0.02","","2.5","","Сероводород "
"Атырау","","","Атырау қаласы","Күкіртдиоксиді","0.008","0.061","0.2","0.1","","Диоксид серы"
"Атырау","","85","Атырау қаласы","Күкірттісутегі","0.003","0.027","","3.4","","Сероводород"
"Кульсары","","","Құлсары қаласы","Қалқымабөлшектер (шаң)","0","0","0","0","","Взвешенные частицы (пыль)"
"Кульсары","","","Құлсары қаласы","Азот оксиді","0.0101","0.0439","0.2","0.1","","Оксид азота"
"Усть-Каменогорск","","42","Өскемен қаласы","РМ-10 қалқымабөлшектері","0.0646","0.465","1.1","1.6","","Взвешенные частицы РМ-10"
